component_id,lot_id,device_type,temperature_C,parameter_name,unit,value_0h,value_24h,value_96h,value_168h,outcome,failure_time_h,behavior_class_synthetic_only,data_source
C00496,L003,generic_semiconductor_v0,125,leakage_current,uA,22.694,22.415,23.395,23.908,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00250,L002,generic_semiconductor_v0,85,leakage_current,uA,16.915,19.508,28.948,36.953,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00261,L002,generic_semiconductor_v0,85,leakage_current,uA,14.002,14.569,13.936,15.328,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00205,L002,generic_semiconductor_v0,25,leakage_current,uA,6.675,7.518,11.016,13.651,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00098,L001,generic_semiconductor_v0,85,leakage_current,uA,16.886,20.279,51.953,116.008,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00278,L002,generic_semiconductor_v0,85,leakage_current,uA,13.101,15.526,22.925,31.401,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00164,L001,generic_semiconductor_v0,125,leakage_current,uA,34.529,42.813,97.495,207.421,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00528,L003,generic_semiconductor_v0,125,leakage_current,uA,30.002,30.398,32.489,33.962,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00410,L003,generic_semiconductor_v0,25,leakage_current,uA,10.029,10.706,35.035,12.816,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00349,L002,generic_semiconductor_v0,125,leakage_current,uA,26.128,25.641,28.504,28.527,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00210,L002,generic_semiconductor_v0,25,leakage_current,uA,9.097,10.689,13.611,17.343,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00445,L003,generic_semiconductor_v0,85,leakage_current,uA,15.387,16.18,14.841,18.256,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00377,L003,generic_semiconductor_v0,25,leakage_current,uA,8.449,38.028,37.081,38.168,investigate,,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00116,L001,generic_semiconductor_v0,85,leakage_current,uA,17.554,17.502,16.893,18.436,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00426,L003,generic_semiconductor_v0,85,leakage_current,uA,16.026,18.68,26.934,34.009,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00136,L001,generic_semiconductor_v0,125,leakage_current,uA,25.177,26.007,24.946,27.277,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00532,L003,generic_semiconductor_v0,125,leakage_current,uA,30.361,60.357,61.034,61.206,fail,24,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00506,L003,generic_semiconductor_v0,125,leakage_current,uA,31.624,33.129,36.289,39.81,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00361,L003,generic_semiconductor_v0,25,leakage_current,uA,11.04,11.356,11.422,11.349,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00398,L003,generic_semiconductor_v0,25,leakage_current,uA,8.174,7.207,54.72,51.166,fail,96,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00071,L001,generic_semiconductor_v0,85,leakage_current,uA,17.883,19.492,54.403,122.374,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00423,L003,generic_semiconductor_v0,85,leakage_current,uA,16.157,16.238,16.279,17.275,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00421,L003,generic_semiconductor_v0,85,leakage_current,uA,15.051,34.157,34.899,33.581,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00083,L001,generic_semiconductor_v0,85,leakage_current,uA,15.479,18.253,42.268,87.426,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00090,L001,generic_semiconductor_v0,85,leakage_current,uA,16.005,61.639,24.553,16.078,fail,24,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00341,L002,generic_semiconductor_v0,125,leakage_current,uA,23.026,23.558,25.973,27.017,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00048,L001,generic_semiconductor_v0,25,leakage_current,uA,7.442,7.775,8.235,8.161,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00480,L003,generic_semiconductor_v0,85,leakage_current,uA,18.916,19.289,20.058,22.125,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00420,L003,generic_semiconductor_v0,25,leakage_current,uA,8.009,7.614,29.246,10.087,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00126,L001,generic_semiconductor_v0,125,leakage_current,uA,28.313,25.983,29.658,27.76,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00533,L003,generic_semiconductor_v0,125,leakage_current,uA,25.031,27.117,40.543,51.671,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00503,L003,generic_semiconductor_v0,125,leakage_current,uA,27.437,30.327,31.439,31.991,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00076,L001,generic_semiconductor_v0,85,leakage_current,uA,18.274,18.786,19.695,20.53,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00144,L001,generic_semiconductor_v0,125,leakage_current,uA,28.397,28.908,29.355,30.14,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00226,L002,generic_semiconductor_v0,25,leakage_current,uA,6.808,7.185,15.993,30.796,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00181,L002,generic_semiconductor_v0,25,leakage_current,uA,5.868,6.151,6.717,6.613,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00235,L002,generic_semiconductor_v0,25,leakage_current,uA,6.416,6.295,6.362,6.837,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00011,L001,generic_semiconductor_v0,25,leakage_current,uA,9.142,8.711,10.58,10.606,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00345,L002,generic_semiconductor_v0,125,leakage_current,uA,24.341,25.58,26.256,29.987,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00035,L001,generic_semiconductor_v0,25,leakage_current,uA,6.938,7.295,7.423,7.731,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00497,L003,generic_semiconductor_v0,125,leakage_current,uA,16.673,20.949,29.407,40.181,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00286,L002,generic_semiconductor_v0,85,leakage_current,uA,13.96,14.146,15.139,16.673,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00338,L002,generic_semiconductor_v0,125,leakage_current,uA,21.685,21.488,23.473,23.738,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00396,L003,generic_semiconductor_v0,25,leakage_current,uA,6.001,7.416,16.031,32.202,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00401,L003,generic_semiconductor_v0,25,leakage_current,uA,7.538,7.557,8.67,9.028,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00050,L001,generic_semiconductor_v0,25,leakage_current,uA,8.939,9.008,10.226,10.341,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00406,L003,generic_semiconductor_v0,25,leakage_current,uA,7.95,8.003,8.534,9.541,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00371,L003,generic_semiconductor_v0,25,leakage_current,uA,8.814,10.33,11.166,10.838,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00207,L002,generic_semiconductor_v0,25,leakage_current,uA,7.052,7.17,7.195,7.487,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00089,L001,generic_semiconductor_v0,85,leakage_current,uA,12.628,12.716,14.237,13.602,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00368,L003,generic_semiconductor_v0,25,leakage_current,uA,7.252,7.463,7.663,8.778,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00242,L002,generic_semiconductor_v0,85,leakage_current,uA,16.121,16.199,15.809,17.272,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00202,L002,generic_semiconductor_v0,25,leakage_current,uA,8.964,39.32,11.187,12.026,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00143,L001,generic_semiconductor_v0,125,leakage_current,uA,23.493,24.177,24.717,27.41,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00282,L002,generic_semiconductor_v0,85,leakage_current,uA,15.224,15.37,16.236,17.753,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00060,L001,generic_semiconductor_v0,25,leakage_current,uA,8.366,8.775,9.206,10.205,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00262,L002,generic_semiconductor_v0,85,leakage_current,uA,17.619,18.047,18.705,21.289,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00472,L003,generic_semiconductor_v0,85,leakage_current,uA,17.271,17.413,19.084,20.131,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00468,L003,generic_semiconductor_v0,85,leakage_current,uA,13.548,14.323,14.475,14.069,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00263,L002,generic_semiconductor_v0,85,leakage_current,uA,21.098,21.463,21.581,23.05,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00416,L003,generic_semiconductor_v0,25,leakage_current,uA,8.408,9.009,9.16,9.707,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00180,L001,generic_semiconductor_v0,125,leakage_current,uA,21.226,23.183,23.442,20.859,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00040,L001,generic_semiconductor_v0,25,leakage_current,uA,8.925,8.653,10.064,10.111,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00283,L002,generic_semiconductor_v0,85,leakage_current,uA,15.406,16.871,16.319,18.005,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00092,L001,generic_semiconductor_v0,85,leakage_current,uA,12.989,13.992,19.679,27.553,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00388,L003,generic_semiconductor_v0,25,leakage_current,uA,7.946,8.813,6.904,6.924,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00016,L001,generic_semiconductor_v0,25,leakage_current,uA,11.042,11.54,12.059,12.606,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00161,L001,generic_semiconductor_v0,125,leakage_current,uA,29.315,30.29,31.937,33.314,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00195,L002,generic_semiconductor_v0,25,leakage_current,uA,6.51,7.372,10.294,12.82,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00239,L002,generic_semiconductor_v0,25,leakage_current,uA,5.821,6.137,6.517,6.854,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00087,L001,generic_semiconductor_v0,85,leakage_current,uA,14.713,14.57,14.476,15.728,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00414,L003,generic_semiconductor_v0,25,leakage_current,uA,10.104,12.007,16.278,20.772,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00318,L002,generic_semiconductor_v0,125,leakage_current,uA,25.204,21.77,24.132,28.898,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00024,L001,generic_semiconductor_v0,25,leakage_current,uA,9.282,9.55,9.422,10.104,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00296,L002,generic_semiconductor_v0,85,leakage_current,uA,14.883,14.963,16.081,16.906,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00365,L003,generic_semiconductor_v0,25,leakage_current,uA,9.04,9.124,10.02,9.783,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00064,L001,generic_semiconductor_v0,85,leakage_current,uA,12.79,13.102,13.58,13.432,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00409,L003,generic_semiconductor_v0,25,leakage_current,uA,8.903,9.215,9.684,9.585,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00535,L003,generic_semiconductor_v0,125,leakage_current,uA,26.622,27.198,29.533,29.566,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00403,L003,generic_semiconductor_v0,25,leakage_current,uA,8.29,9.782,12.587,15.696,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00436,L003,generic_semiconductor_v0,85,leakage_current,uA,21.804,21.23,22.766,22.817,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00380,L003,generic_semiconductor_v0,25,leakage_current,uA,6.864,7.127,7.76,7.922,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00325,L002,generic_semiconductor_v0,125,leakage_current,uA,27.068,27.879,28.427,29.38,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00536,L003,generic_semiconductor_v0,125,leakage_current,uA,18.841,18.774,20.259,20.472,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00374,L003,generic_semiconductor_v0,25,leakage_current,uA,8.611,10.335,17.128,33.388,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00062,L001,generic_semiconductor_v0,85,leakage_current,uA,24.696,30.588,45.059,57.495,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00142,L001,generic_semiconductor_v0,125,leakage_current,uA,18.788,18.403,19.365,19.422,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00476,L003,generic_semiconductor_v0,85,leakage_current,uA,19.171,46.697,46.79,47.575,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00363,L003,generic_semiconductor_v0,25,leakage_current,uA,9.52,9.913,10.472,10.327,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00437,L003,generic_semiconductor_v0,85,leakage_current,uA,19.465,20.385,19.82,20.946,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00419,L003,generic_semiconductor_v0,25,leakage_current,uA,7.456,8.595,10.676,14.013,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00485,L003,generic_semiconductor_v0,125,leakage_current,uA,25.963,29.835,28.172,29.564,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00058,L001,generic_semiconductor_v0,25,leakage_current,uA,7.071,8.424,12.559,16.463,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00439,L003,generic_semiconductor_v0,85,leakage_current,uA,21.388,20.156,23.713,26.234,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00027,L001,generic_semiconductor_v0,25,leakage_current,uA,6.429,6.635,6.738,7.331,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00185,L002,generic_semiconductor_v0,25,leakage_current,uA,7.981,7.958,49.041,47.741,investigate,,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00291,L002,generic_semiconductor_v0,85,leakage_current,uA,17.024,19.064,25.71,30.63,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00153,L001,generic_semiconductor_v0,125,leakage_current,uA,23.087,24.026,31.914,40.18,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00412,L003,generic_semiconductor_v0,25,leakage_current,uA,8.987,8.667,9.55,9.901,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00130,L001,generic_semiconductor_v0,125,leakage_current,uA,24.573,26.621,39.89,50.327,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00297,L002,generic_semiconductor_v0,85,leakage_current,uA,15.88,44.23,43.817,43.128,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00376,L003,generic_semiconductor_v0,25,leakage_current,uA,8.7,8.757,9.096,9.226,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00022,L001,generic_semiconductor_v0,25,leakage_current,uA,8.253,8.091,51.618,51.934,fail,96,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00516,L003,generic_semiconductor_v0,125,leakage_current,uA,35.038,43.307,56.464,77.916,fail,96,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00515,L003,generic_semiconductor_v0,125,leakage_current,uA,25.181,28.911,41.28,50.368,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00316,L002,generic_semiconductor_v0,125,leakage_current,uA,27.001,27.109,30.405,30.481,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00369,L003,generic_semiconductor_v0,25,leakage_current,uA,10.91,11.646,18.667,24.753,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00470,L003,generic_semiconductor_v0,85,leakage_current,uA,21.476,22.438,23.972,25.762,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00107,L001,generic_semiconductor_v0,85,leakage_current,uA,15.642,72.939,69.925,78.698,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00494,L003,generic_semiconductor_v0,125,leakage_current,uA,20.248,20.773,40.943,77.442,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00473,L003,generic_semiconductor_v0,85,leakage_current,uA,27.449,29.45,29.232,28.746,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00236,L002,generic_semiconductor_v0,25,leakage_current,uA,7.544,7.786,8.282,8.747,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00102,L001,generic_semiconductor_v0,85,leakage_current,uA,9.097,10.821,16.165,20.843,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00440,L003,generic_semiconductor_v0,85,leakage_current,uA,15.547,17.444,34.273,70.213,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00451,L003,generic_semiconductor_v0,85,leakage_current,uA,15.41,18.169,23.11,27.379,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00408,L003,generic_semiconductor_v0,25,leakage_current,uA,7.143,8.154,10.467,13.215,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00198,L002,generic_semiconductor_v0,25,leakage_current,uA,6.337,28.705,8.512,10.217,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00486,L003,generic_semiconductor_v0,125,leakage_current,uA,23.075,22.818,26.952,25.588,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00063,L001,generic_semiconductor_v0,85,leakage_current,uA,17.406,98.878,99.154,99.389,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00007,L001,generic_semiconductor_v0,25,leakage_current,uA,9.542,10.116,10.55,10.788,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00196,L002,generic_semiconductor_v0,25,leakage_current,uA,8.28,11.293,15.227,19.197,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00483,L003,generic_semiconductor_v0,125,leakage_current,uA,26.357,30.953,69.514,142.6,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00099,L001,generic_semiconductor_v0,85,leakage_current,uA,15.837,16.295,17.153,17.076,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00093,L001,generic_semiconductor_v0,85,leakage_current,uA,15.752,16.194,16.806,16.828,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00394,L003,generic_semiconductor_v0,25,leakage_current,uA,10.291,10.036,11.775,12.886,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00279,L002,generic_semiconductor_v0,85,leakage_current,uA,14.983,13.998,38.849,22.426,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00037,L001,generic_semiconductor_v0,25,leakage_current,uA,8.711,8.963,9.504,9.707,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00201,L002,generic_semiconductor_v0,25,leakage_current,uA,11.842,12.104,12.476,13.13,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00507,L003,generic_semiconductor_v0,125,leakage_current,uA,26.225,26.909,120.776,122.07,fail,96,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00029,L001,generic_semiconductor_v0,25,leakage_current,uA,6.058,6.274,6.702,7.254,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00075,L001,generic_semiconductor_v0,85,leakage_current,uA,18.394,18.738,19.884,23.082,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00042,L001,generic_semiconductor_v0,25,leakage_current,uA,5.963,6.359,6.365,6.482,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00170,L001,generic_semiconductor_v0,125,leakage_current,uA,32.657,33.652,36.046,37.784,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00017,L001,generic_semiconductor_v0,25,leakage_current,uA,9.061,18.359,18.432,18.417,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00238,L002,generic_semiconductor_v0,25,leakage_current,uA,7.552,8.711,6.988,8.202,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00191,L002,generic_semiconductor_v0,25,leakage_current,uA,9.251,9.193,9.74,10.231,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00256,L002,generic_semiconductor_v0,85,leakage_current,uA,14.535,14.469,15.707,15.696,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00160,L001,generic_semiconductor_v0,125,leakage_current,uA,25.611,26.823,27.0,29.095,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00216,L002,generic_semiconductor_v0,25,leakage_current,uA,9.085,9.768,9.885,10.469,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00176,L001,generic_semiconductor_v0,125,leakage_current,uA,25.645,27.295,37.688,47.323,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00112,L001,generic_semiconductor_v0,85,leakage_current,uA,17.115,17.577,17.324,16.822,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00253,L002,generic_semiconductor_v0,85,leakage_current,uA,15.366,14.427,15.777,17.026,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00008,L001,generic_semiconductor_v0,25,leakage_current,uA,8.618,8.699,9.114,9.381,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00510,L003,generic_semiconductor_v0,125,leakage_current,uA,24.358,23.763,26.329,28.816,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00047,L001,generic_semiconductor_v0,25,leakage_current,uA,7.411,7.481,7.547,8.448,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00120,L001,generic_semiconductor_v0,85,leakage_current,uA,20.97,20.19,23.255,25.122,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00386,L003,generic_semiconductor_v0,25,leakage_current,uA,10.014,10.911,10.629,11.112,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00225,L002,generic_semiconductor_v0,25,leakage_current,uA,9.134,10.046,45.638,13.035,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00446,L003,generic_semiconductor_v0,85,leakage_current,uA,15.963,15.703,16.038,17.326,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00525,L003,generic_semiconductor_v0,125,leakage_current,uA,24.664,25.06,25.611,24.413,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00145,L001,generic_semiconductor_v0,125,leakage_current,uA,19.084,18.844,20.015,20.077,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00474,L003,generic_semiconductor_v0,85,leakage_current,uA,12.186,12.722,11.936,12.774,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00096,L001,generic_semiconductor_v0,85,leakage_current,uA,14.729,14.93,15.886,15.755,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00488,L003,generic_semiconductor_v0,125,leakage_current,uA,19.824,22.872,22.927,22.907,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00393,L003,generic_semiconductor_v0,25,leakage_current,uA,7.121,7.347,7.415,7.124,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00026,L001,generic_semiconductor_v0,25,leakage_current,uA,9.103,8.074,46.779,42.622,fail,96.2,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00078,L001,generic_semiconductor_v0,85,leakage_current,uA,14.615,14.58,15.345,15.738,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00010,L001,generic_semiconductor_v0,25,leakage_current,uA,11.157,11.044,11.966,12.379,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00165,L001,generic_semiconductor_v0,125,leakage_current,uA,24.474,25.56,27.473,29.703,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00429,L003,generic_semiconductor_v0,85,leakage_current,uA,12.317,10.725,12.556,12.728,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00390,L003,generic_semiconductor_v0,25,leakage_current,uA,6.224,6.436,6.668,6.576,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00319,L002,generic_semiconductor_v0,125,leakage_current,uA,25.569,22.003,32.942,30.354,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00357,L002,generic_semiconductor_v0,125,leakage_current,uA,29.786,30.45,30.789,31.668,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00232,L002,generic_semiconductor_v0,25,leakage_current,uA,7.865,8.06,8.18,8.062,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00459,L003,generic_semiconductor_v0,85,leakage_current,uA,12.873,12.98,13.31,14.274,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00424,L003,generic_semiconductor_v0,85,leakage_current,uA,16.024,15.87,17.694,17.314,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00327,L002,generic_semiconductor_v0,125,leakage_current,uA,19.501,19.283,19.058,21.115,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00057,L001,generic_semiconductor_v0,25,leakage_current,uA,7.518,8.594,23.352,48.026,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00522,L003,generic_semiconductor_v0,125,leakage_current,uA,26.859,27.061,119.064,115.264,fail,96,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00397,L003,generic_semiconductor_v0,25,leakage_current,uA,9.055,43.256,43.627,42.345,investigate,,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00094,L001,generic_semiconductor_v0,85,leakage_current,uA,14.073,15.052,15.432,15.418,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00036,L001,generic_semiconductor_v0,25,leakage_current,uA,10.076,10.317,10.569,10.593,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00471,L003,generic_semiconductor_v0,85,leakage_current,uA,10.738,10.836,11.89,12.769,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00405,L003,generic_semiconductor_v0,25,leakage_current,uA,7.581,7.926,18.19,37.016,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00138,L001,generic_semiconductor_v0,125,leakage_current,uA,20.91,20.514,90.229,91.124,fail,96,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00273,L002,generic_semiconductor_v0,85,leakage_current,uA,20.101,21.492,21.374,21.872,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00530,L003,generic_semiconductor_v0,125,leakage_current,uA,29.844,31.693,32.367,32.971,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00449,L003,generic_semiconductor_v0,85,leakage_current,uA,15.742,16.519,17.087,17.52,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
